Masked Account ID,Maked Primary Campaign,Stage,Account Type,Billing Zip/Postal Code,Fiscal Period,Close Date,Amount,ZCTA,Year,Pop,Households,HH Income,Education Years,Minority %,Poor %,Poor Family %,Car or Van %,Public Transport %,Health Ins %,No Health Ins %,Unemployed %,Employed %,Armed Forces %,Not in Labor Force %,Under 10 %,Under 35 %,Over 65 %,Over 85 %,High school %,College %,0-50k %,50-100k %,100-150k %,150-200k %,200k+ %,Minority,Under 10,Under 35,Over 65,Over 85,Male 10-14,Male 15-17,Male 18-19,Male 20,Male 21,Male 22-24,Male 25-29,Male 30-34,Female 10-14,Female 15-17,Female 18-19,Female 20,Female 21,Female 22-24,Female 25-29,Female 30-34,Ed Pop,Less than High School,High school,GED,Some college to Associates Degree,Bachelor's Degree or Higher,$0-25k,$25-50k,$50-75k,$75-100k,$100-125k,$125-150k,$150-200k,$200k+,Poverty Pop,Poor,Poor Family,Transport Pop,Car or Van,Carpool,Public Transport,Worked from Home,Health Ins Pop,Health Ins,No Health Ins,Labor Population,Armed Forces,Employed,Unemployed,Not in Labor Force,Num Donations,Repeat Donor
1,Campaign Two 2018,Closed Won,Household,90069,Q1-2018,2018-02-16,25000.0,90069.0,2019.0,20230.0,12488.0,104.5561739,15.51788953,0.192782996,0.099855862,0.005605381,0.733762058,0.019006788,0.956401384,0.043598616,0.038329698,0.75018178,0,0.211488522,0.031685615,0.353237766,0.166089965,0.016806723,0.126408354,1.548227535,0.282351057,0.255525304,0.177450352,0.086402947,0.19827034,3900.0,641.0,7146.0,3360.0,340.0,116.0,38.0,68.0,150.0,125.0,207.0,1255.0,1437.0,193.0,100.0,23.0,32.0,54.0,288.0,1322.0,1097.0,18195.0,238.0,1878.0,184.0,15895.0,12275.0,1826.0,1700.0,1677.0,1514.0,1243.0,973.0,1079.0,2476.0,12488.0,1247.0,70.0,13995.0,10269.0,391.0,266.0,1963.0,20230.0,19348.0,882.0,19254.0,0.0,14444.0,738.0,4072.0,51,True
2,Campaign One 2014,Closed Won,Household,90272,Q3-2014,2014-08-27,5000.0,90272.0,2021.0,21282.0,8074.0,147.580815,16.27508815,0.14716662,0.060317067,0.019197424,0.645544111,0.00111957,0.991589136,0.008410864,0.021153253,0.566327475,0,0.412519272,0.145287097,0.350390001,0.227563199,0.035710929,0.06495796,1.724165989,0.142060936,0.119519445,0.153331682,0.073817191,0.511270746,3132.0,3092.0,7457.0,4843.0,760.0,733.0,390.0,132.0,40.0,91.0,222.0,231.0,214.0,943.0,452.0,151.0,129.0,12.0,147.0,234.0,244.0,14748.0,166.0,733.0,59.0,13790.0,11638.0,716.0,431.0,518.0,447.0,606.0,632.0,596.0,4128.0,8074.0,487.0,155.0,8932.0,5766.0,438.0,10.0,2427.0,21282.0,21103.0,179.0,16215.0,0.0,9183.0,343.0,6689.0,30,True
3,Campaign One 2014,Closed Won,Household,90024,Q4-2014,2014-10-29,435.0,90024.0,2021.0,50611.0,16359.0,90.52096705,15.81371841,0.425065697,0.240540375,0.022250749,0.424928034,0.024897732,0.96945131,0.03054869,0.050344929,0.432807029,0.000754859,0.516093183,0.042856296,0.696409871,0.130366916,0.03121851,0.132220217,1.596615523,0.409193716,0.21346048,0.12115655,0.069136255,0.187052998,21513.0,2169.0,35246.0,6598.0,1580.0,339.0,251.0,4632.0,1536.0,1396.0,2156.0,1742.0,1620.0,303.0,455.0,7237.0,2749.0,2633.0,2595.0,1908.0,1525.0,22160.0,860.0,1989.0,81.0,19230.0,16151.0,4363.0,2331.0,2133.0,1359.0,971.0,1011.0,1131.0,3060.0,16359.0,3935.0,364.0,19801.0,8414.0,548.0,493.0,3580.0,50575.0,49030.0,1545.0,47691.0,36.0,20641.0,2401.0,24613.0,36,True
4,Campaign One 2014,Closed Won,Household,90049,Q1-2014,2014-03-26,5000.0,90049.0,2019.0,36418.0,16720.0,127.0675837,16.22100776,0.148690208,0.080502392,0.016566986,0.708219812,0.027707809,0.981006047,0.018993953,0.030760207,0.646485711,0.001238229,0.321515853,0.09874238,0.412268658,0.202427371,0.035586798,0.071264619,1.715305862,0.193720096,0.206220096,0.156937799,0.107894737,0.335227273,5415.0,3596.0,15014.0,7372.0,1296.0,950.0,663.0,92.0,94.0,72.0,446.0,1423.0,1268.0,903.0,497.0,551.0,120.0,284.0,703.0,1772.0,1580.0,27447.0,603.0,1239.0,114.0,25491.0,21589.0,1918.0,1321.0,1626.0,1822.0,1450.0,1174.0,1804.0,5605.0,16720.0,1346.0,277.0,19453.0,13777.0,791.0,539.0,2587.0,36380.0,35689.0,691.0,30689.0,38.0,19840.0,944.0,9867.0,72,True
5,,Closed Won,Household,,Q1-2021,2021-03-10,5000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,False
6,,Closed Won,Household,30087,Q4-2019,2019-12-31,2500.0,30087.0,2020.0,38304.0,13925.0,93.74721724,14.52669532,0.745692356,0.08064632,0.043375224,0.798083101,0.037159991,0.897813464,0.102186536,0.049476779,0.614397269,0.000221302,0.335904651,0.097953216,0.386774227,0.177631579,0.020206767,0.238036274,1.235450506,0.277127469,0.338096948,0.190017953,0.101687612,0.093070018,28563.0,3752.0,14815.0,6804.0,774.0,1395.0,795.0,673.0,113.0,85.0,632.0,856.0,1011.0,794.0,1131.0,364.0,137.0,124.0,851.0,903.0,1199.0,27458.0,1568.0,4296.0,672.0,20922.0,13001.0,1663.0,2196.0,2693.0,2015.0,1690.0,956.0,1416.0,1296.0,13925.0,1123.0,604.0,18676.0,14905.0,1061.0,694.0,1712.0,38234.0,34327.0,3907.0,31631.0,7.0,19434.0,1565.0,10625.0,9,True
7,Campaign Two 2020,Closed Won,Corporate,10020,Q3-2020,2020-09-24,15000.0,10020.0,2021.0,0.0,0.0,0.0,0.0,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,True
8,Campaign Two 2021,Closed Won,Corporate,,Q3-2021,2021-09-01,15000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,True
9,,Closed Won,Corporate,90010,Q4-2020,2020-12-31,5000.0,90010.0,2021.0,4313.0,2247.0,97.15954606,14.27436927,0.757477394,0.121495327,0.031597686,0.428514377,0.184504792,0.877579411,0.122420589,0.019917416,0.623998057,0,0.356084528,0.044516578,0.513563645,0.14699745,0.030605147,0.256307339,1.285550459,0.298175345,0.263017356,0.198486871,0.095683133,0.144637294,3267.0,192.0,2215.0,634.0,132.0,0.0,4.0,0.0,35.0,9.0,158.0,461.0,383.0,0.0,74.0,77.0,36.0,88.0,152.0,252.0,294.0,3488.0,217.0,623.0,54.0,2594.0,1890.0,390.0,280.0,417.0,174.0,295.0,151.0,215.0,325.0,2247.0,273.0,71.0,2504.0,1073.0,247.0,462.0,293.0,4313.0,3785.0,528.0,4117.0,0.0,2569.0,82.0,1466.0,12,True
10,Campaign One 2014,Closed Won,Corporate,90744,Q4-2014,2014-12-09,2500.0,90748.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,True
